Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
BTP-eC9,PBDB-TF,10.1002/adma.201908205,0.839,26.2,81.1,17.8,,,,,,,,,,
BTP-FCl-FCl,BTR-Cl,10.1002/advs.202004262,0.8234,24.58,75.36,15.3,,,,,,,,,,
BTP-M,PBDB-TF,10.1039/C9EE03710A,0.975,8.43,51.8,4.26,,,,-5.48,-3.81,,,,-5.48,-3.64
BTP-N,PBDB-T,10.1016/j.cej.2021.132830,0.748,24.87,64.35,11.97,791,876,1.25,-5.63,-3.98,,,,-5.43,-3.43
BTP-PhC6,PBDB-TF,10.1016/j.nanoen.2020.105087,0.865,25,77,16.7,,,,-5.58,-3.85,,,,-5.5,-3.55
BTP-S,PBDB-T,10.1016/j.cej.2021.132830,0.711,26.5,66.65,12.56,737,862,1.26,-5.66,-4.03,,,,,
BTP-S1,PBDB-TF,10.1002/adma.202001160,0.934,22.39,72.69,15.21,,,,-5.55,-4.01,,,,,
BTP-S2,PBDB-TF,10.1002/adma.202001160,0.945,24.07,72.02,16.37,,,,-5.65,-4.01,,,,-5.48,-3.64
BTP-S7,PBDB-TF,10.1038/s41467-021-24937-5,0.861,25.92,75.09,16.76,,,,-5.52,-4.08,,,,-5.48,-3.64
BTP-S8,PBDB-TF,10.1038/s41467-021-24937-5,0.852,26.96,75.45,17.33,,,,-5.63,-4.09,,,,,
BTP-S9,PBDB-TF,10.1038/s41467-021-24937-5,0.846,26.47,78.44,17.56,,,,-5.63,-4.09,,,,,
BTP-Se,PBDB-T,10.1016/j.cej.2021.132830,0.711,28.66,69.7,14.2,778,853,1.24,-5.64,-4.04,,,,,
BTPT-4F,P2F-Ehp,10.1007/s11426-019-9457-5,0.78,3.2,43.78,1.09,,,,-5.73,-4,,,,,
BTPTT-4F,P2F-Ehp,10.1007/s11426-019-9457-5,0.81,26.68,74.11,16.02,,,,-5.68,-4.06,,,,-5.46,-3.13
BTPV-4F,PTB7-Th,10.1038/s41467-020-20431-6,0.65,28.3,65.9,12.1,,,,-5.39,-4.08,,,,-5.22,-3.55
BTPV-4F-eC9,PTB7-Th,10.1002/adfm.202102361,0.661,28.2,68.48,12.77,,,,-5.38,-4.06,,,,-5.27,-3.55
BTSe-4F,PBDB-TF,10.1002/sstr.202000052,0.811,22.52,75.4,13.79,727,804,1.39,-5.78,-4.16,,,,,
BTTBo-4F,PBDB-T,10.1039/D1TC03259C,0.85,15.04,64.61,8.27,705,738,1.45,-5.56,-3.85,,,,-5.33,-3.53
BTTBo-4FN,PBDB-T,10.1039/D1TC03259C,0.84,19.56,70.47,11.6,727,763,1.4,-5.48,-3.86,,,,,
BTTIC,PBDB-T,10.1002/adfm.201803128,0.904,19.52,74.7,13.18,724,759,1.47,-5.59,-3.86,,,,,
BTTPC,PBDB-T,10.1039/C9TA11285E,0.89,22.25,73,14.51,734,798,1.39,-5.47,-3.78,,,,,
BTTPC-Br,PBDB-T,10.1039/C9TA11285E,0.86,24.71,71,15.22,741,813,1.37,-5.54,-3.88,,,,-5.38,-3.45
BTz-Np,P3HT,10.1002/adfm.201504153,0.94,3.52,46,1.53,517,,1.82,-5.95,-3.44,,,,,
Bu-OD-4F,PBDB-TF,10.1007/s11426-021-1013-0,0.85,26.2,76.6,17.1,732,801,1.42,-5.68,-4.01,,,,,
BZIC,HFQx-T,10.1021/jacs.6b12826,0.84,12.67,59,6.3,,,1.45,-5.42,-3.88,,,1.76,-5.36,-3.57
BZIC-2Br,PBDB-T,10.1039/D1RA01348C,0.75,15.34,65.19,7.51,,807,1.4,-5.85,-3.92,,,,,
C8IDT-Br,PBDB-TF,10.1021/acsaem.1c00369,0.97,15.66,64.81,9.85,606,662,1.63,-5.73,-3.86,566,615,1.79,-5.56,-3.64
C8-ITCC,PBDB-TF,10.1021/acs.chemmater.9b00980,1.04,16.1,63,10.8,,,,-5.45,-3.85,,,,-5.4,-3.64
C8-ITCC-Cl,PBDB-TF,10.1021/acs.chemmater.9b00980,0.95,17.9,73,12.7,,,,-5.5,-3.93,,,,,
C8-ITIC,PBDB-T,10.1002/adma.201705209,0.87,19.7,73,12.41,,,,,,,,,-5.33,-3.29
C8-ITIC,PFBDB-T,10.1002/adma.201705209,0.94,19.6,72,13.2,,,,-5.63,-3.91,,,,-5.47,-3.46
CBM,PTB7-Th,10.1021/acs.chemmater.6b00131,0.88,10.6,53,5.3,497,547,2.02,-6.05,-4.13,,,,,
CDTBM,PTB7-Th,10.1021/acsenergylett.8b00045,0.67,12.7,62,5.6,,,,,,,,,,
CDTBM,PTB7-Th,10.1021/acs.chemmater.6b00131,0.66,11.9,60,4.8,681,701,1.45,-5.69,-4.28,,,,,
CH1007,PBDB-TF,10.1021/jacs.0c07083,0.822,27.48,75.61,17.08,,,,-5.59,-3.97,,,,-5.55,-3.7
CH3-2F,PBDB-T,10.1021/acsami.1c09597,0.77,22.76,69.85,12.28,734,775,1.42,-5.59,-4.01,,,,-5.2,-3.44
Cl-ITIC,PTPDBDT,10.1039/C7QM00025A,0.94,15.6,65,9.5,,,,-5.7,-4.14,,,,,
CNDTBT-C8IDT-FINCN,PBDB-T,10.1021/acsami.0c13277,0.793,22.11,70.3,12.33,692,766,1.4,-5.58,-3.92,623,629,1.82,-5.29,-3.43
CNDTBT-C8IDT-INCN,PBDB-T,10.1021/acsami.0c13277,0.863,9.35,67.2,11.22,680,715,1.48,-5.54,-3.82,,,,,
CNDTBT-IDTT-FINCN,PBDB-T,10.1021/acsami.9b15247,0.82,17.06,65,9.13,699,726,1.58,-5.56,-3.98,,,,-5.2,-3.43
COi6DFIC,FTAZ,10.1039/C8QM00004B,0.67,20.98,58.9,8.25,769,824,1.31,-5.64,-4.04,,,,,
COi6FIC,FTAZ,10.1039/C8QM00004B,0.75,19.38,62.6,9.12,764,815,1.34,-5.6,-3.93,,,,,
COi6IC,FTAZ,10.1039/C8QM00004B,0.82,17.45,59,8.43,755,795,1.37,-5.57,-3.86,,,,,
Coi8DFIC,PTB7-Th,10.1016/j.joule.2018.11.023,0.69,27.3,71,13.8,,,,-5.5,-3.88,,,,-5.39,-3.12
COi8DFIC,PTB7-Th,10.1021/acs.jpclett.9b03502,0.695,23.86,68.8,11.4,,,,-5.52,-4.2,,,,,
Coi8DFIC,PTB7-Th,10.1016/j.scib.2017.10.017,0.68,26.12,68.2,12.16,,,1.26,,,,,,,
CPDT-4Cl,PBDB-T,10.1021/acsami.8b20567,0.65,21.3,66.8,9.28,786,858,1.3,-5.29,-3.93,,,,-5.18,-3.38
CPDT-4F,PBDB-T,10.1021/acsami.8b20567,0.68,20.1,69.6,9.47,776,847,1.31,-5.26,-3.87,,,,,
CPIC-1,PBDB-T,10.1002/asia.202101147,0.38,5.16,31.88,0.63,674,642,1.45,-5.61,-3.62,,,,-5.38,-3.33
CPIC-2,PBDB-T,10.1002/asia.202101147,0.69,22.72,63.66,10.01,764,742,1.31,-5.3,-3.52,,,,,
CPIC-3,PBDB-T,10.1002/asia.202101147,0.71,5.77,41.54,1.71,780,819,1.24,-5.2,-3.48,,,,,
CRIC,J52-2F,10.1016/j.dyepig.2019.108012,0.937,13.41,48.7,6.12,,,1.53,-5.44,-3.82,,,,-5.36,-3.42
CRIC-4F,J52-2F,10.1016/j.dyepig.2019.108012,0.887,13.12,48.2,5.61,,,,-5.67,-3.9,,,,,
CSeT-IC,J71,10.1021/acsami.1c12028,0.912,17.17,54.83,8.52,690,712,1.58,-5.6,-3.91,,,,-5.4,-3.24
CTIC-4F,PTB7-Th,10.1021/acsenergylett.9b00721,0.7,23.36,54,10.5,,,,,,,,,,
CTSe-IC,J71,10.1021/acsami.1c12028,0.925,18.21,68.81,11.59,697,725,1.56,-5.55,-3.9,,,,,
Cz-RH,P3HT,10.1039/C4CC01695E,1.03,4.69,53,2.56,,,2.05,-5.53,-3.5,,,,-5.2,-3.2
CZTT-4F,PBDB-T,10.1039/C9TA08573D,0.88,19.06,58.47,9.81,706,737,1.48,-5.61,-4.11,,,,-5.28,-3.48
CZTT-4F,PBDB-T-2F,10.1039/C9TA08573D,0.94,19.73,65.06,12.07,,,,,,,,,-5.45,-3.65
CZTT-IC,PBDB-T,10.1039/C9TA08573D,0.97,17.26,58.97,9.87,,,,,,,,,,
CZTT-IC,PBDB-T-2F,10.1039/C9TA08573D,1.07,12.83,51.16,7.02,684,700,1.56,-5.54,-3.97,,,,,
DBD-4F,PBDB-T,10.1016/j.cej.2021.128770,0.88,15.92,59.52,8.64,731,816,1.38,-5.55,-3.74,,,,-5.23,-3.18
DBS-2DPP,P3HT,10.1002/aenm.201200911,0.97,4.91,43,2.05,,,,,,,,,,
DBT-4F,PBDB-T,10.1016/j.cej.2021.128770,0.88,19.65,70.24,12.14,703,789,1.43,-5.67,-3.87,,,,,
DBTD-4F,PBDB-T,10.1016/j.cej.2021.128770,0.81,12.91,53.02,5.55,753,751,1.34,-5.51,-3.9,,,,,
DC6-IC,PBDB-T,10.1038/s41467-019-11001-6,0.99,11.19,62.21,6.87,,,,,,,,,,
DCI-2,P1_mishra,10.1039/C7TA04703G,0.8,13.77,63,6.94,680,888,1.23,-5.24,-4.05,532,588,1.6,-5.1,-3.48
DC-IDT2Tz,PTB7-Th,10.1016/j.dyepig.2017.10.037,0.82,10.81,65.54,5.81,,,,,,,,,,
DF-PCIC,PBDB-T,10.1002/adma.201705208,0.91,15.66,72,10.14,,,,-5.49,-3.77,,,,-5.33,-3.53
DF-TCIC,PBDB-T,10.1039/C8QM00609A,0.86,16.39,58,8.23,,686,1.46,-5.37,-3.76,,,,-5.33,-3.53
DICTF,PBDB-T,10.1002/adma.201604964,0.93,10.3,59,5.93,587,624,1.82,-5.67,-3.79,,,,,
DICTF,PTB7-Th,10.1039/C6TA04358E,0.86,16.61,56,7.93,,,1.82,-5.67,-3.79,,,,,
di-PBI,PBDTTS-TTffBT,10.1002/macp.201600459,0.92,10.89,65,6.51,,,,-6.1,-4,,,,-5.45,-3.69
di-PDI,PBDB-TF,10.1002/ajoc.202100585,0.879,6.92,52.19,3.18,,,,-6.1,-3.86,,,,,
di-PDI-2F,PBDB-TF,10.1002/ajoc.202100585,0.906,7.84,60.8,4.32,,,,-6.22,-3.92,,,,-5.56,-3.5
DO-2F,PBDB-T,10.1002/solr.202100806,0.82,19.92,66.23,10.85,,,,-5.54,-3.9,,,,-5.21,-3.41
DOC2C6-2F,PBDB-T,10.1038/s41467-019-11001-6,0.85,21.35,73.15,13.24,,,,,,,,,,
DOC2C6-IC,PBDB-T,10.1038/s41467-019-11001-6,0.93,18.85,63.33,11.1,,,,,,,,,,
DPP-FN-DPP,P3HT,10.1039/C6NJ03938C,0.97,3.2,37.2,1.2,585,653,1.75,-5.56,-3.81,,,,-5.2,-3.2
DTBT(TDPP)2,PTB7,10.1021/acs.chemmater.5b02480,0.83,7.77,47,3.03,,,,-5.7,-4.18,,,,,
DTC-4F,PBDB-T-2F,10.1039/C9TA12605H,0.94,20.2,70.42,13.37,672,701,1.63,-5.79,-3.92,,,,-5.56,-3.5
DTCC-BC,PBDB-T,10.1021/acsami.9b08462,0.98,17.22,63.62,10.74,643,671,1.67,-5.46,-3.81,,,,,
DTCC-IC,PBDB-T,10.1021/acsami.9b08462,0.97,14.26,64.08,9.25,655,681,1.66,-5.47,-3.83,,,,,
DTCC-IC,PTB7-Th,10.1039/C7TA01143A,0.95,11.23,56.2,6,669,731,1.59,-5.5,-3.87,,,,-5.2,-3.56
DTC-F-C,PTB7-Th,10.1016/j.orgel.2020.106026,0.74,8.94,40.8,2.7,691,650,1.72,-5.66,-3.94,,,,-5.22,-3.64
DTC-F-F,PTB7-Th,10.1016/j.orgel.2020.106026,0.84,16.01,56,7.53,595,654,1.68,-5.51,-3.83,,,,,
DTC-T-C,PTB7-Th,10.1016/j.orgel.2020.106026,0.69,2.88,35.8,0.71,620,681,1.59,-5.68,-4.09,,,,,
DTC-T-F,PTB7-Th,10.1016/j.orgel.2020.106026,0.78,17.46,64.6,8.8,591,653,1.65,-5.48,-3.83,,,,,
DTDfBT(TDPP)2,PTB7,10.1021/acs.chemmater.5b02480,0.81,12.1,51,5,,,,-5.85,-4.33,,,,-5.16,-3.5
DTG-IW,PTB7-Th,10.1021/acsaem.0c01097,0.72,19.2,66,9.16,720,822,1.32,-5.63,-4.07,,,,-5.2,-3.6
DTI,P3HT,10.1002/aenm.201301007,0.613,4.3,55,1.45,,,,,,,,,-5.2,-3.3
DTI,PBDTTPD,10.1002/aenm.201301007,1.051,4.6,30,1.47,,,,,,,,,-5.7,-3.7
DTI,PCDTBT,10.1002/aenm.201301007,0.931,2.9,28,0.75,,,,-6.1,-3.9,,,,-5.5,-3.6
DTI,PDTSBT,10.1002/aenm.201301007,0.725,5.7,32,1.32,,,,,,,,,-5.3,-3.5
DTNIC6,PBDB-T,10.1021/acs.chemmater.7b02887,0.96,7.71,45.63,3.39,638,670,1.7,-5.87,-3.92,,,,-5.33,-2.92
DTNIC8,PBDB-T,10.1021/acs.chemmater.7b02887,0.96,12.92,72.84,9.03,634,660,1.73,-5.91,-3.93,,,,,
DTNR,PTB7-Th,10.1021/acs.chemmater.7b03770,1.08,15.72,56,9.51,618,650,1.72,-5.67,-3.75,,,,-5.26,-3.62
DTPC-DFIC,PTB7-Th,10.1021/jacs.7b13239,0.76,21.92,61.3,10.21,,,,-5.31,-4.1,,,,-5.2,-3.59
DTPC-IC,PTB7-Th,10.1021/jacs.7b13239,0.863,8.53,42.4,3.12,,,,-5.21,-3.97,,,,,
DTP-in-F,PBDB-TF,10.1021/acsami.1c06299,0.91,18.54,63.2,10.66,,,,-5.53,-3.92,,,,-5.5,-3.61
DTP-out-F,PBDB-TF,10.1021/acsami.1c06299,0.86,10.16,45.4,3.97,,,,-5.61,-3.96,,,,,
DTSiC-IC,PBDB-T-2Cl,10.1021/acsami.1c06360,1.1,11.62,61.95,7.92,634,678,1.71,-5.79,-4.05,,,,-5.52,-3.57
DTSiC-TC,PBDB-T-2Cl,10.1021/acsami.1c06360,1.06,14.6,70.32,10.88,664,688,1.67,-5.79,-4.07,,,,,
DTTC-4Cl,PBDB-T-2F,10.1039/C9TA12605H,0.92,22.64,74.04,15.42,690,753,1.47,-5.72,-4.03,,,,,
DTTC-4F,PBDB-T-2F,10.1039/C9TA12605H,0.95,21.66,67.6,13.89,676,725,1.55,-5.69,-3.91,,,,,
eC9,P5T,10.1021/acsmaterialslett.1c00328,0.832,14.6,50.5,6.13,,,,,,,,,-5.41,-3.48
eC9,P5T-2F,10.1021/acsmaterialslett.1c00328,0.837,26.5,78.9,17.7,,,,,,,,,-5.51,-3.56
eC9-2Cl,PBQx-TF,10.1002/adma.201908205,0.868,25.9,78.6,17.7,,,,-5.57,-3.74,,,,,
EH-HD-4F,PBDB-TF,10.1007/s11426-021-1013-0,0.84,27.5,79.3,18.38,732,813,1.39,-5.69,-4.04,,,,,
EH-IDTBR,PffBT4T-2DT,10.1021/acsenergylett.7b00390,1.02,17.2,63,11.1,,,,,,,,,,
EH-IDTBR,P3HT,10.1038/ncomms11585,0.76,12.1,62,6,650,690,1.63,-5.51,-3.88,,,,,
ERCN,P3HT,10.1002/aenm.201803012,0.9,5.87,49.8,2.64,582,572,1.82,-5.5,-3.59,,,,-5,-2.9
F(DPP)2B2,P3HT,10.1039/C4TA06035K,1.18,5.35,50,3.17,,,1.82,-5.21,-3.39,,,,-4.76,-2.74
F-0Cl,DRCN5T,10.1002/aenm.201802021,1.09,9.64,52.3,5.49,,,,-5.43,-3.71,,,,,
F-1Cl,DRCN5T,10.1002/aenm.201802021,0.975,13.07,63.7,8.12,,,,-5.46,-3.75,,,,-5.22,-3.41
F-2Cl,DRCN5T,10.1002/aenm.201802021,0.906,15.97,68.4,9.89,,,,-5.5,-3.86,,,,,
F-2Cl,PBDB-T,10.1021/acsami.1c13035,0.743,18.92,73.4,10.31,688,732,1.58,-5.76,-3.91,,,,-5.33,-3.53
F-2F,PBDB-TF,10.1039/D0TA03087B,0.941,18.54,74.1,12.93,678,703,1.6,-5.78,-3.89,,,,-5.5,-3.61
F5IC,FTAZ,10.1021/acs.chemmater.8b02222,0.704,14.88,53.7,5.6,666,694,1.64,-5.82,-4.05,,,,-5.38,-3.17
F7IC,FTAZ,10.1021/acs.chemmater.8b02222,0.742,18.43,59.7,8.2,690,730,1.56,-5.74,-4.01,,,,,
F8-DPPTCN,P3HT,10.1039/C6TA00056H,0.97,6.25,39,2.37,,,,,,,,,,
F8IC,PTB7-Th,10.1016/j.joule.2018.11.011,0.67,22.7,69.5,10.9,,,,-5.4,-4,,,,-5.2,-3.6
F8IDT-Br,PBDB-TF,10.1021/acsaem.1c00369,0.98,14.6,67.76,9.7,600,638,1.7,-5.82,-3.87,,,,,
F9IC,FTAZ,10.1021/acs.chemmater.8b02222,0.873,20.2,66.4,11.7,710,746,1.49,-5.52,-3.97,,,,,
FBM,PTB7-Th,10.1021/acs.chemmater.6b00131,0.88,11.2,51,5.1,486,501,2.11,-6.25,-4.14,,,,,
FBR,P3HT,10.1021/ja5110602,0.82,7.95,63,4.11,,509,2.14,-5.7,-3.57,,,,,
FBR,PffBT4T-2DT,10.1039/C6EE02598F,1.12,11.5,61,7.8,,509,,-5.83,-3.57,,,,,
F-Br,PBDB-T,10.1002/aenm.201702870,0.87,18.22,76,12.05,679,720,1.56,-5.62,-4.06,,,,-5.18,-3.38
F-BTA3,PBQx-TF,10.1002/adma.201908205,1.15,13.2,75.6,11.5,,,,-5.52,-3.39,,,,-5.41,-2.82
F-Cl,PBDB-T,10.1002/aenm.201702870,0.87,17.61,75,11.47,678,711,1.58,-5.62,-4.04,,,,,
FDICTF,PBDB-T,10.1002/adma.201604964,0.94,15.81,66,10.06,665,689,1.63,-5.43,-3.71,,,,-5.33,-2.92
FDICTF,PBDB-T,10.1021/acs.chemmater.7b02811,0.94,15.8,66,10,665,689,1.63,-5.43,-3.71,,,,-5.33,-2.92
FDNCTF,PBDB-T,10.1002/aenm.201800424,0.909,15.9,74.6,10.8,,,,-5.54,-3.9,,,,,
FDNCTF,PBDB-T,10.1021/acs.chemmater.7b02811,0.93,16.3,72.5,11.2,697,714,1.6,-5.42,-3.73,,,,,
FDTBT-IDTT-FINCN,PBDB-T,10.1021/acsami.9b15247,0.86,13.57,62,7.27,691,723,1.51,-5.46,-3.92,,,,,
FEHIDT,P3HT,10.1039/c3cc42293c,0.95,3.82,67,2.43,,,,-5.95,-3.95,,,,,
F-F,PBDB-T,10.1002/aenm.201702870,0.88,17.36,71,10.85,674,703,1.59,-5.72,-4.13,,,,,
FFI-1,P3HT,10.1002/adma.201103927,0.76,4.4,56,1.86,,,,-6.1,-3.5,,,,-4.7,-2.8
F-H,PBDB-T,10.1002/aenm.201702870,0.94,15.02,67,9.59,665,689,1.63,-5.42,-3.79,,,,,
F-H,PBDB-TF,10.1039/D0TA03087B,0.94,15.81,66,10.06,665,689,1.63,-5.43,-3.71,,,,,
F-ITIC,PTPDBDT,10.1039/C7QM00025A,0.94,14.1,66,8.8,,,,-5.65,-4.09,,,,,
FITP,PTB7-Th,10.1039/C6TA07368A,0.99,13.24,56,7.33,,,,-5.48,-3.75,,,,-5.22,-3.64
Flu-RH,P3HT,10.1039/C4CC01695E,1.03,5.7,52,3.08,,,2.1,-5.58,-3.53,,,,,
F-M,PBDB-T,10.1002/adma.201707508,0.98,14.56,71,10.08,662,687,1.65,-5.42,-3.7,,,,-5.33,-3.53
F-M,PBDB-TF,10.1002/adma.201804723,0.99,14.6,72.7,10.49,,,,,,,,,,
FNIC1,PTB7-Th,10.1021/jacs.8b04027,0.774,19.97,66.4,10.3,734,752,1.48,-5.61,-3.92,,,,,
FNIC2,PTB7-Th,10.1021/jacs.8b04027,0.741,23.93,73.4,13,750,794,1.38,-5.56,-4,,,,,
FNTz-Teh-FA,P3HT,10.1038/s41427-018-0088-4,0.89,5.81,60,3.12,525,,2.08,-6.17,-3.55,,,,,
FO-2F,PBDB-TF,10.1039/D0TA03087B,0.878,22.26,77,15.05,696,784,1.47,-5.72,-3.94,,,,,
FOC2C6-2FIC,PBDB-T,10.1021/acsami.9b18076,0.87,19.66,72.1,12.36,710,742,1.43,-5.51,-3.84,,,,,
FOC6-FIC,PBDB-T,10.1021/acsami.9b18076,0.89,19.18,70.9,12.08,708,736,1.47,-5.47,-3.81,,,,,
FOC6-IC,PBDB-T,10.1021/acsami.9b18076,0.93,17.64,65.8,10.8,700,721,1.51,-5.42,-3.77,,,,-5.33,-3.53
FOIC,PTB7-Th,10.1002/adma.201705969,0.743,24,67.1,12,782,836,1.32,-5.36,-3.92,,,,,
FOIC,PTB7-Th,10.1016/j.joule.2018.11.011,0.75,20.5,69.5,11,,,,-5.4,-3.9,,,,,
FRd2,PTB7-Th,10.1039/C7CC08237A,0.833,15.7,72.3,9.4,,509,,-5.67,-3.58,,,,,
FRdCN2,PTB7-Th,10.1039/C7CC08440D,0.93,16,71.9,10.7,,530,,-5.88,-3.81,,,,,
GL1,PBDB-T,10.1021/acsami.1c13035,0.761,22.59,66.5,11.43,817,846,1.28,-5.4,-3.83,,,,,
H1,P3HT,10.1039/C7QM00084G,1.17,7.74,60,5.4,,,1.67,-5.51,-3.84,,,,-5.2,-3.2
H2,PBDB-T,10.1002/anie.202006081,0.79,25.82,73,15.12,,,,-5.62,-3.94,,,,-5.43,-3.63
H-2F,PBDB-T,10.1021/acsami.1c09597,0.73,18.78,62.99,8.64,710,745,1.46,-5.58,-4.06,,,,,
HD-4Cl,PBDB-TF,10.1039/D0QM00633E,0.854,25.4,72.3,15.7,,,,-5.68,-4.09,,,,-5.45,-3.64
HDO-4Cl,PBDB-TF,10.1039/D0QM00633E,0.94,21.9,76,15.6,,,,-5.7,-3.91,,,,,
HFO-PCIC,PBDB-TF,10.1039/C8TA03753A,0.93,12.62,70.99,8.36,686,723,1.48,-5.5,-3.81,,,,-5.48,-3.64
HF-PCIC,PBDB-TF,10.1039/C8TA03753A,0.91,17.81,70.77,11.49,682,716,1.5,-5.53,-3.83,,,,,
HF-TCIC,PBDB-T,10.1039/C8QM00609A,0.76,20.04,65,9.86,,706,1.44,-5.43,-3.83,,,,,
H-IDTzR,P3HT,10.1039/C8QM00461G,1.04,6.67,52.5,3.53,582,616,1.87,-5.31,-3.44,,,,-5,-3.1
H-ITIC,PTPDBDT,10.1039/C7QM00025A,1.04,10.6,58,6.4,,,,-5.61,-4.02,,,,,
IBCT,L1,10.1039/d0ta02427a,1.02,15.07,73.5,11.26,,,,-5.5,-3.7,,,,-5.45,-2.79
IBR,PBDB-T,10.1016/j.dyepig.2019.02.017,1.16,9.46,60.71,6.66,,565,,-5.64,-3.41,,,,,
i-cc23,PBDB-T,10.1021/acsami.0c03842,1.09,11.1,59.5,7.23,663,677,1.69,-5.34,-3.64,,,,-5.26,-3.16
i-cc34,PBDB-T,10.1021/acsami.0c03842,0.96,15.46,63,9.35,708,717,1.57,-5.39,-3.75,,,,,
IC-C6IDT-IC,PBDB-T,10.1021/jacs.6b00853,0.89,15.05,65,8.71,,,1.62,-5.69,-3.91,,,,-5.36,-3.43
IC-C6IDT-IC,DRTB-T,10.1021/jacs.6b11612,0.98,14.23,65,9.08,,,,-5.69,-3.91,,,,-5.51,-3.34
ICIF2F,PBDB-TF,10.1039/D0TC04749J,0.79,19.3,61.4,9.6,760,823,1.36,-5.45,-4.02,,,,,
ICPDT-4F,PBDB-T,10.1021/acs.jpcc.0c09663,0.78,19.87,63.3,9.8,,,,-5.33,-3.91,,,,-4.9,-3.03
ICPDT-4F,PBDB-T-2Cl,10.1021/acs.jpcc.0c09663,0.88,9.96,61.4,5.39,,,,,,,,,-5.24,-3.34
ICPDT-4F,PBDB-T-4Cl,10.1021/acs.jpcc.0c09663,0.91,2.36,48.4,1.04,,,,,,,,,-5.38,-3.47
Icz-Rd2,P,10.1039/C8TC05318A,1.04,14.04,54,7.88,543,590,,-5.59,-3.88,,,,-5.15,-3.58
Icz-RdCN2,P,10.1039/C8TC05318A,1.01,15.58,62,9.76,582,642,,-5.58,-3.98,,,,,
ID4F,PBDB-TF,10.1038/s41467-019-10098-z,0.84,13.42,61,6.88,671,707,1.64,-5.83,-3.86,,,,-5.47,-3.6
ID-4F,PBDB-TF,10.1016/j.nanoen.2020.104861,0.73,13.5,65,6.4,677,719,,-5.75,-4.06,,,,-5.5,-3.63
IDBDT-O,PBDB-T,10.1016/j.synthmet.2021.116922,0.89,5.21,39.3,1.83,711,713,1.55,-5.68,-3.68,,,,-5.29,-3.41
IDBDT-T,PBDB-T,10.1016/j.synthmet.2021.116922,0.96,15.2,48.6,7.14,686,701,1.63,-5.78,-3.66,,,,,
IDF-4F,PBDB-TF,10.1021/acsaem.0c01247,0.736,17.49,61,7.81,,,,,,,,,,
IDFBR,P3HT,10.1038/nmat4797,0.89,7.4,68,4.5,,,,-5.75,-3.7,,,,,
IDF-IC,PBDB-TF,10.1021/acsaem.0c01247,0.905,14.55,59,7.8,,,,,,,,,,
IDIC,PTZ1,10.1002/adma.201702291,0.92,16.4,76.2,11.5,,,,-5.69,-3.91,,,,-5.31,-3.34
IDIC,FTAZ,10.1002/adma.201706363,0.84,20.8,71.8,12.5,,,,,,,,,,
IDIC,FTAZ,10.1002/adma.201706363,0.84,20.8,71.8,12.5,,,,,,,,,,
IDIC,PBDB-T,10.1002/adma.201807832,0.819,17.27,73.6,10.41,,,,,,,,,,
IDIC,PBDB-TF,10.1002/adma.201807832,0.947,18.17,69.88,12.02,666,716,1.63,-5.7,-3.92,,,,-5.48,-3.64
IDIC,PDCBT-Cl,10.1016/j.joule.2020.04.014,0.95,15.2,65.8,9.44,,,,,,,,,,
IDIC,SM1,10.1021/acs.chemmater.7b02536,0.905,15.18,73.55,10.11,,,,,,500,566,1.88,-5.24,-2.82
IDIC,SM2,10.1021/acs.chemmater.7b02536,0.768,10.77,64.4,5.32,,,,-5.69,-3.91,466,521,2.02,-5.04,-2.7
IDIC,DRBDT-STVT,10.1021/acsami.7b17961,0.887,10.93,67.17,6.51,,,,,,,,,-5.14,-3.43
IDIC,DRBDT-TVT,10.1021/acsami.7b17961,0.84,12.22,64.58,6.63,,,,-5.69,-3.91,,,,-5.11,-3.41
IDIC,P1_yang,10.1021/acsami.8b04432,0.86,8.53,66.22,4.86,,,,,,561,563,1.87,-5.17,-2.9
IDIC,P2_yang,10.1021/acsami.8b04432,0.91,13.15,64.84,7.75,,,,,,591,594,1.9,-5.33,-2.94
IDIC,P3_yang,10.1021/acsami.8b04432,1,15.99,60.89,9.7,,,,-5.7,-3.82,592,593,1.92,-5.54,-2.98
IDIC,P4_yang,10.1021/acsami.8b04432,1.06,4.82,57.43,2.93,,,,,,576,577,2,-5.68,-3.13
IDIC,SM,10.1021/acsami.9b16900,0.911,15.18,67.85,9.39,,,,-5.69,-3.91,,,,-5.25,-3.33
IDIC,SM-Cl,10.1021/acsami.9b16900,0.972,12.61,63.08,7.73,,,,-5.69,-3.91,,,,-5.42,-3.34
IDIC,PTQ10,10.1021/acsami.9b22666,0.95,17.66,70.36,11.86,,,,,,,,,,
IDIC,H11,10.1021/jacs.6b12826,0.977,15.21,65.46,9.73,,,,,,,,,,
IDIC,H12,10.1021/jacs.6b12826,0.955,10.51,54.89,5.51,,,,,,,,,,
IDIC,PTQ10,10.1038/s41467-018-03207-x,0.969,17.81,73.6,12.7,,,,-5.74,-3.9,,,,-5.54,-2.98
IDIC,NDTR,10.1039/C7QM00397H,0.89,13.2,56.6,6.6,,,,-5.69,-3.91,,,,-5.23,-3.5
