Molecule,Reference,A (acceptor) or D (donor),max abs solution,max abs film,opt bg,HOMO,LUMO
ID-4F,Guo_asymmetrically_2020,A,677,719,,-5.75,-4.06
IDBDT-O,Liang_development_2021,A,711,713,1.55,-5.68,-3.68
IDBDT-T,Liang_development_2021,A,686,701,1.63,-5.78,-3.66
IDBTR-C6,Qu_alkyl_2018,A,654,711,1.52,-5.3,-3.71
IDIC,Fan_high-performance_2018,A,,,,-5.65,-3.91
IDIC,Ge_improved_2019,A,,,,-5.69,-3.91
IDIC,Guo_high_2017,A,,,,-5.69,-3.91
IDIC,Huo_medium-bandgap_2018,A,,,,-5.69,-3.91
IDIC,Li_a novel_2017,A,,,,-5.69,-3.91
IDIC,Li_a simple_2019,A,666,716,1.63,-5.7,-3.92
IDIC,Liu_donor_2018,A,,,,-5.62,-4.04
IDIC,Qiu_all-small-molecule_2017,A,,,,-5.69,-3.91
IDIC,Sun_a low_2018,A,,,,-5.74,-3.9
IDIC,Yang_quinoxaline_2018,A,,,,-5.7,-3.82
IDIC-4Cl,Wu_modulation_2020,A,688.5,755.8,1.52,-5.88,-3.98
IDIC-4Cl,Zhou_all-small-molecule_2019,A,,,,-5.91,-4.1
IDIC8-F,Wang_all-small-molecule_2018,A,,,,-5.51,-3.82
IDIC8-H,Wang_all-small-molecule_2018,A,,,,-5.52,-3.76
IDIC8-M,Wang_all-small-molecule_2018,A,,,,-5.51,-3.72
IDIC-PhC6,Li_a simple_2019,A,654,682,1.71,-5.72,-3.86
IDSe-T-IC,Li_non-fullerene_polymer_2016,A,,,1.52,-5.45,-3.79
IDST-4F,Guo_asymmetrically_2020,A,728,791,,-5.59,-4.01
IDT(DCV)2,Ko_excellent_2017,A,532,538,2.16,-5.81,-3.65
IDT(TCV)2,Ko_excellent_2017,A,602,616,1.86,-6.04,-4.18
IDT-2B,Feng_fused-ring_2017,A,654,672,1.73,-5.8,-3.84
IDT-2BM,Bai_nonfullerene_2015,A,660,688,1.6,-5.6,-3.8
IDT-2BM,Kim_a new_2017,A,656,690,1.08,-5.4,-3.77
IDT-2BR,Li_thermally_2017,A,,636,,-5.52,-3.69
IDT-2BR,Wu_planar_2015,A,,636,,-5.52,-3.69
IDT-2BR1,Jia_rhodanine_2017,A,,,1.61,-5.37,-3.67
IDT2-IC,Shao_A-DD-A_2021,A,710,715,1.5,-5.28,-3.91
IDT2-IC-4Cl,Shao_A-DD-A_2021,A,739,779,1.4,-5.34,-3.95
IDT-2O,Feng_fused-ring_2017,A,668,706,1.64,-5.73,-3.85
IDT-2PDI,Lin_a twisted_2014,A,,,,-5.53,-3.83
IDT2Se,Liang_near-infrared_2018,A,722,747,1.45,-5.41,-3.87
IDT2Se-4F,Liang_near-infrared_2018,A,737,789,1.39,-5.51,-4
IDT-3EsT,Raju_positional_2021,A,683,705,1.55,-5.38,-3.85
IDT-3EsT-2IC2F,Raju_positional_2021,A,704,759,1.44,-5.38,-3.93
IDT-4CN,Huang_highly_2018,A,,698,,-5.45,-3.95
IDT-4EsT-2IC2F,Raju_positional_2021,A,719,738,1.44,-5.35,-3.93
IDT6CN-M,Fan_overcoming_2019,A,,,1.6,-5.6,-3.87
IDTA,Firdaus_novel_2020,A,,,,-5.88,-3.9
IDT-BC6,Liu_exploiting_2017,A,,592,1.75,-5.55,-3.82
IDT-BOC6,Liu_exploiting_2017,A,,688,1.63,-5.51,-3.78
IDTBR,Baran_reduced_2016,A,,,,-5.5,-3.9
IDTBR,Baran_reducing_2017,A,,,,-5.75,-3.7
IDT-BT-R,Xiao_efficient_2018,A,,,,-5.3,-3.59
IDTC,Luo_side-chain_2017,A,,727,1.51,-5.57,-3.96
IDTC-4Cl,Yi_a cyclopentadithiophene_2019,A,,,,-5.5,-3.79
IDTCR,Ye_wide_2017,A,603,622,1.76,-5.46,-3.67
IDT-CR,Liu_ring-locking_2023,A,598,590,1.78,-5.34,-3.44
IDT-CT,Liu_ring-locking_2026,A,639,655,1.63,-5.39,-3.67
IDT-EDOT,Jiang_the influence_2018,A,753,789,1.41,-5.43,-3.8
IDTI,Li_design_2017,A,,,,-5.81,-3.94
IDTIC,Song_a highly_2018,A,,,,-5.85,-3.89
IDT-IC,Li_insertion_2017,A,,686,1.72,-5.6,-3.88
IDT-IC,Li_non-fullerene_2016,A,646,681,1.72,-5.61,-3.88
IDTIDSe-T-IC,Li_a fused_2016,A,,,,-5.41,-3.81
IDTIDT-IC,Li_non-fullerene_2016,A,696,721,1.53,-5.42,-3.82
IDTN,Chen_alkoxy_2021,A,688,732,1.57,-5.81,-3.97
IDTN,Li_design_2017,A,,,,-5.79,-3.98
IDT-N,Li_non-fullerene_2017,A,687,727,1.58,-5.74,-4.08
IDTN-O,Chen_alkoxy_2021,A,686,728,1.59,-5.77,-3.89
IDT-NTI-1HH,Hamonnet_bis(napthothiophene)_2017,A,,,,-5.4,-3.8
IDT-NTI-2EH,Hamonnet_bis(napthothiophene)_2017,A,,,,-5.4,-3.9
IDTO,Luo_side-chain_2017,A,,723,1.53,-5.52,-3.84
IDT-OB,Feng_fused-ring_2017,A,661,697,1.66,-5.77,-3.87
IDTOT2F,Liu_nonfullerene_2018,A,723,765,1.44,-5.54,-3.94
IDT-PDOT,Jiang_the influence_2018,A,747,776,1.43,-5.39,-3.77
IDT-R,Liu_ring-locking_2021,A,576,583,1.96,-5.44,-3.53
IDT-T,Yu_significant_2017,A,,,,-5.41,-3.96
IDTT(TCV)2,Ko_excellent_2017,A,691,713,1.52,-5.58,-4.06
IDTT-2BM,Bai_nonfullerene_2015,A,672,714,1.54,-5.5,-3.8
IDTT2F,Liu_nonfullerene_2018,A,716,749,1.46,-5.57,-4.03
IDTT2OT,Kim_synthesis_2021,A,717,725,1.51,-5.2,-3.69
IDTT2OT-2F,Kim_synthesis_2021,A,731,754,1.45,-5.28,-3.83
IDTT2OT-4F,Kim_synthesis_2021,A,734,768,1.42,-5.32,-3.9
IDTTA,Firdaus_novel_2020,A,,,,-5.81,-3.97
IDTT-BH,Chang_fine-tuning_2018,A,710,733,1.54,-5.42,-3.86
IDTT-Br-2F,Cai_an asymmetry_2022,A,,,1.58,-5.79,-3.99
IDTT-Cl-2F,Cai_asymmetric_2021,A,,,1.56,-5.42,-3.92
IDTT-CR,Liu_ring-locking_2024,A,610,602,1.74,-5.25,-3.38
IDTT-CT,Liu_ring-locking_2027,A,641,653,1.63,-5.28,-3.65
IDTTIC,Song_a highly_2018,A,,,,-5.68,-3.84
IDTT-M-2F,Cai_asymmetric_2021,A,,,1.59,-5.4,-3.87
IDT-T-N,Li_non-fullerene_2017,A,734,755,1.45,-5.58,-4.06
IDTT-OB,Li_ternary_2021,A,,,,-5.59,-3.87
IDTT-OBH,Chang_fine-tuning_2018,A,710,733,1.57,-5.41,-3.86
IDTT-R,Liu_ring-locking_2022,A,590,598,1.84,-5.32,-3.49
IDTT-T,He_molecular_2018,A,,,,-5.51,-3.51
IDTT-T,Liu_ring-locking_2025,A,620,625,1.82,-5.51,-3.64
IDTT-TBTA,Xiao_substitution_2020,A,,,1.89,-5.51,-3.72
IDT-Tz,Yu_significant_2017,A,,,,-5.62,-4.09
IDTzCR,Ye_wide_2017,A,593,616,1.79,-5.67,-3.77
IE-4Cl,Hong_investigating_2019,A,730,775,1.43,-5.54,-4.11
IE-4F,Hong_investigating_2019,A,715,760,1.44,-5.51,-4.07
IEIC,Hong_investigating_2019,A,700,710,1.57,-5.41,-3.84
IEIC,Lin_efficient_2016,A,,,,-5.42,-3.82
IEIC,Lin_high-performance_2015,A,,,1.57,-5.42,-3.82
IEIC,Lin_high-performance_non-fullerene_2015,A,,720,1.57,-5.42,-3.82
IEICO,Cui_fine-tuned_2017,A,,,,-5.32,-3.95
IEICO,Yao_design_2016,A,,,1.34,-5.32,-3.95
IEICO-4Cl,Cui_efficient_2017,A,802,887,1.23,-5.56,-4.23
IEICO-4F,Liu_nonfullerene_2018,A,803,869,1.24,-5.44,-4.19
IEICS-4F,Chen_a non-fullerene_2018,A,,,1.35,-5.43,-4.08
IFBR,Fan_improved_2017,A,,,,-5.69,-3.64
IFBR-d,Zhong_regioisomeric_2017,A,,647,,-5.67,-3.74
IFBR-p,Zhong_regioisomeric_2017,A,,671,,-5.64,-3.73
IffBR,Zhong_enhanced_2017,A,,,,-5.71,-3.77
IFIC-i-4F,Liu_achieving_2019,A,,,,-5.42,-3.91
IHIC2,Zhu_naphthodithiophene_2018,A,,,,-5.69,-3.86
IHIC-N,Zhang_panchromatic_2018,A,,,,-5.57,-3.8
I-IDTBTRh,Huang_enhanced_2018,A,618,667,1.65,-5.42,-3.68
i-IEICO-2Cl,Zhao_efficient_2021,A,709,727,1.57,-5.42,-3.75
i-IEICO-4Cl,Zhao_efficient_2021,A,718,754,1.51,-5.46,-3.82
I-ITIC,Yang_halogenated_2017,A,,,,-5.68,-4.14
INIC,Dai_fused_2017,A,692,706,1.57,-5.45,-3.88
INIC1,Dai_fused_2017,A,710,720,1.56,-5.54,-3.97
INIC2,Dai_fused_2017,A,704,728,1.52,-5.52,-3.98
INIC3,Dai_fused_2017,A,710,744,1.48,-5.52,-4.02
INPIC,Sun_Dithieno_2018,A,755,779,1.46,-5.36,-3.82
INPIC-2F,Song_synergetic_2021,A,767,799,1.41,-5.4,-3.91
INPIC-4F,Feng_molecular_2019,A,769,821,1.39,-5.42,-3.94
INPIC-4F,Sun_Dithieno_2018,A,769,821,1.39,-5.42,-3.94
IOIC2,Zhu_alkoxy_2018,A,,,,-5.41,-3.78
IOIC2,Zhu_naphthodithiophene_2018,A,,,,-5.41,-3.78
IOIC3,Zhu_alkoxy_2018,A,,,,-5.38,-3.84
IOTIC-2F,Lee_design_2018,A,794,839,1.31,-5.34,-4.06
IPIC,Geng_nonfullerene_2019,A,761,776,1.44,-5.47,-3.82
IPIC-4Cl,Geng_nonfullerene_2019,A,790,855,1.32,-5.51,-3.95
IPIC-4F,Geng_nonfullerene_2019,A,776,824,1.38,-5.54,-3.94
IPT-2F,Song_synergetic_2021,A,739,775,1.44,-5.51,-3.96
IPT-2F,Yang_tuning_2019,A,739,775,1.44,-5.51,-3.96
IPT2F-Ph,Cao_2D_2020,A,732,769,1.46,-5.57,-4
IPT2F-Th,Cao_2D_2020,A,726,759,1.47,-5.58,-4.03
IPT2F-TT,Cao_2D_2020,A,724,764,1.45,-5.6,-4
IPT-4Cl,Yang_molecular engineering_2020,A,760,819,1.39,-5.58,-4.11
IPT-4F,Yang_molecular engineering_2020,A,746,795,1.42,-5.57,-4.08
IPTBO-4Cl,Yang_molecular engineering_2020,A,759,817,1.39,-5.64,-4.08
IPTBO-4F,Yang_molecular engineering_2020,A,746,800,1.41,-5.57,-4.07
IPTT-2F,Yang_tuning_2019,A,742,766,1.42,-5.46,-4.04
IPTTT-2F,Yang_tuning_2019,A,746,761,1.43,-5.4,-4.07
IT-2Cl,zhang_over_2018,A,,720,1.55,-5.68,-3.99
IT-2F,Fan_fine-tuning_2018,A,,,,-5.64,-4.05
IT-4Cl,Su_efficient_2019,A,,,,-5.75,-4.06
IT-4Cl,Zhang_fluorination_2018,A,,,,-5.75,-4.09
IT-4Cl,zhang_over_2018,A,,746,1.48,-5.75,-4.09
IT-4F,Chao_multichloro_2018,A,,,,-5.66,-4.14
IT-4F,Dong_towards_2019,A,,,,-5.66,-4.14
IT-4F,Feng_low-energy_2019,A,,,,-5.7,-3.99
IT-4F,Hao_achieving_2019,A,690,726,1.54,-5.63,-4.06
IT-4F,Huang_narrow_2021,A,,,,-5.66,-4.14
IT-4F,Li_a high-efficiency_2018,A,,,,-5.67,-4.15
IT-4F,Li_a wide_2019,A,,,,-5.69,-4.07
IT-4F,Liao_fluorobenzotriazole_2019,A,,,,-5.7,-4.2
IT-4F,Park_high-performance_2020,A,,,,-5.66,-4.14
IT-4F,Qin_reduced_2019,A,,,,-5.66,-4.14
IT-4F,Su_nonhalogen_2019,A,,,,-5.69,-4.07
IT-4F,Wen_high-efficiency_2020,A,,,,-5.7,-4.15
IT-4F,Wu_a new_2019,A,,,,-5.66,-4.14
IT-4F,Xu_a novel_2019,A,,,,-5.66,-4.14
IT-4F,Yang_a new_2018,A,,,,-5.66,-4.14
IT-4F,Yang_modulating_2018,A,,,,-5.66,-4.14
IT-4F,Yao_14.7%_2019,A,,,,-5.66,-4.19
IT-4F,Ye_insertion_2019,A,692,725,1.53,-5.74,-4.11
IT-4F,Zhao_molecular_2017,A,,,,-5.66,-4.14
IT6-4F,Gao_an asymmetrical_2020,A,679,709,1.53,-5.69,-3.99
ITBC,Chang_isomerically_2019,A,664,691,1.59,-5.49,-3.9
IT-BN-ICN,Shome_mircowave-assisted_2021,A,,750,1.51,-5.59,-4.08
IT-BT-CN,Shome_mircowave-assisted_2021,A,,712,1.57,-5.53,-3.96
ITC-2Cl,Luo_reduced_2019,A,709,746,1.58,-5.58,-4.01
ITC6-IC,Zhang_conformation_2018,A,677,709,1.6,-5.73,-3.92
ITCC-Br,Cai_an asymmetry_2022,A,,,1.64,-5.74,-3.91
ITCC-Cl,Cai_asymmetric_2021,A,,,1.66,-5.4,-3.78
ITCC-M,Cai_asymmetric_2021,A,,,1.72,-5.35,-3.69
ITCC-M,Cui_fine-tuned_2017,A,,,,-5.5,-3.67
ITCF,Hao_achieving_2019,A,683,718,1.57,-5.59,-3.95
ITCPTC,Luo_fine-tuning_2018,A,678,720,1.58,-5.54,-3.45
ITCPTC,Luo_reduced_2019,A,676,715,1.65,-5.62,-3.96
ITCPTC,Ma_adding_2020,A,,,,-5.65,-3.95
ITCPTC,Xie_a novel_2017,A,678,720,1.58,-5.62,-3.96
ITCPTC,Xue_steric_2019,A,,,,-5.62,-3.96
IT-DM,Hao_achieving_2019,A,669,694,1.63,-5.58,-3.82
IT-DM,Li_energy-level_2016,A,,,1.63,-5.56,-3.93
IT-DOH,Liu_H-bonds-assisted_2020,A,667,732,1.53,-5.58,-3.93
IT-F,Fan_fine-tuning_2018,A,,,,-5.66,-3.95
ITIC,An_nonhalogen_2018,A,,,,-5.51,-3.84
ITIC,Bao_high_2017,A,,,,-5.63,-3.97
ITIC,Bauer_donor_2017,A,,,,-5.64,-4.04
ITIC,Bin_11.4%_2016,A,,,,-5.51,-3.84
ITIC,Chang_isomerically_2019,A,664,705,1.59,-5.61,-4.01
ITIC,Chao_chlorination_2018,A,,,,-5.48,-3.83
ITIC,Chao_synergistic_2018,A,,,,-5.48,-3.83
ITIC,Chen_revealing_2019,A,,,,-5.6,-3.85
ITIC,Cui_fine-tuned_2017,A,,,,-5.53,-3.87
ITIC,Fan_fine-tuning_2018,A,,,,-5.64,-3.89
ITIC,Fan_high-performance nonfullerene polymer_2017,A,,,,-5.51,-3.78
ITIC,Fan_high-performance nonfullerene_2017,A,,,,-5.6,-3.85
ITIC,Fan_high-performance Non-Fullerene_2017,A,,,,-5.48,-3.83
ITIC,Fei_an alkylated_2018,A,,,,-5.64,-3.92
ITIC,Feng_low-energy_2019,A,,,,-5.55,-3.8
ITIC,Guo_novel_2017,A,,,,-5.48,-3.83
ITIC,He_D-A polymer_2020,A,,,,-5.41,-3.61
ITIC,He_molecular_2018,A,,,,-5.47,-3.76
ITIC,Huang_effect_2018,A,,,,-5.48,-3.83
ITIC,Huang_significantly_2018,A,,,,-5.51,-3.85
ITIC,Li_a trifluoromethyl_2018,A,,,,-5.6,-3.85
ITIC,Li_crystalline_2017,A,,,,-5.6,-3.93
ITIC,Li_efficient_2017,A,,,,-5.6,-3.85
ITIC,Li_highly_2018,A,,,,-5.48,-3.83
ITIC,Li_tuning_2019,A,679,709,1.61,-5.61,-4.02
ITIC,Liu_a high_2018,A,679,702,1.58,-5.67,-4.03
ITIC,Liu_an effective_2018,A,,,,-5.51,-3.84
ITIC,Park_eco-friendly_2017,A,,,,-5.69,-4.11
ITIC,Qin_highly_2016,A,,,,-5.58,-3.91
ITIC,Shi_design_2017,A,,,1.6,-5.43,-3.81
ITIC,Wang_a wide-bandgap_2019,A,,,,-5.56,-3.79
ITIC,Wang_simultaneous_2017,A,,,,-5.51,-3.78
ITIC,Xie_a novel_2017,A,665,705,1.6,-5.61,-3.93
ITIC,Xu_hexafluoroquinaoxiline_2017,A,,,,-5.48,-3.83
ITIC,Xu_optimizing_2018,A,,,,-5.48,-3.83
ITIC,Xu_realizing_2018,A,,,,-5.48,-3.83
ITIC,Yang_side-chain_2016,A,,,1.59,-5.54,-3.84
ITIC,Yao_a wide_2016,A,,,,-5.48,-3.83
ITIC,Yu_wide_2017,A,,,,-5.48,-3.83
ITIC,Yuan_tetrafluoroquinoxaline_2016,A,,,,-5.48,-3.83
ITIC,Zhang_conformation_2018,A,677,714,1.58,-5.68,-4.01
ITIC,Zhang_energy-level_2017,A,,,,-5.55,-4
ITIC,Zhao_Fullerene-Free_2016,A,,,,-5.51,-3.78
IT-IC,Li_isomeric_2017,A,,709,1.59,-5.58,-3.88
ITIC-0F,Aldrich_fluorination_2019,A,668,708,1.59,-5.7,-4
ITIC1,Wang_enhancing_2017,A,702,734,1.55,-5.48,-3.84
ITIC1,Yan_enhancing_2018,A,702,734,1.55,-5.48,-3.86
ITIC2,Wang_enhancing_2017,A,714,738,1.53,-5.43,-3.8
ITIC-2F,Aldrich_fluorination_2019,A,676,722,1.56,-5.76,-4.07
ITIC-2F,Lee_design_2018,A,687,721,1.56,-5.55,-4.15
ITIC3,Li_fused_2018,A,686,734,1.55,-5.54,-3.9
ITIC-3F,Aldrich_fluorination_2019,A,685,730,1.54,-5.73,-4.12
ITIC4,Jia_breaking_2018,A,690,730,1.52,-5.77,-3.97
ITIC-4F,Aldrich_fluorination_2019,A,682,728,1.55,-5.74,-4.15
ITIC-4F,Yang_nonfullerene_2020,A,,,,-5.9,-4.32
ITIC5,Yan_enhancing_2018,A,718,744,1.53,-5.48,-3.95
ITIC-6F,Aldrich_fluorination_2019,A,695,745,1.51,-5.78,-4.16
ITIC-C9,Aldrich_enhancing_2017,A,,,,-5.78,-3.97
ITIC-Cl4,Laventure_a tetrachlorinated_2018,A,,,,-5.5,-3.9
ITIC-OE,Liu_a high_2018,A,671,718,1.58,-5.67,-4.03
ITIC-SC2C6,Zhang_effect_2017,A,,,,-5.74,-3.86
ITIC-Th,An_A1-A2_2019,A,,,,-5.66,-3.93
ITIC-Th,Chen_surprising_2017,A,,,,-5.66,-3.93
ITIC-Th,Hu_influence_2018,A,,,,-5.66,-3.93
ITIC-Th,Li_enhancing_2018,A,668,706,1.6,-5.66,-3.93
ITIC-Th,Lin_high-performance_2016,A,,,,-5.66,-3.93
ITIC-Th1,Li_enhancing_2018,A,677,728,1.55,-5.74,-4.01
ITIC-Th2,Li_enhancing_2018,A,680,735,1.54,-5.75,-4.07
ITIC-Th3,Li_enhancing_2018,A,664,698,1.63,-5.67,-3.73
IT-M,Cheng_efficient_2019,A,,,,-5.6,-4
IT-M,Li_a high-efficiency_2018,A,,,,-5.58,-3.93
IT-M,Li_energy-level_2016,A,,,1.6,-5.58,-3.98
IT-M,Liu_molecular_2017,A,,,,-5.58,-3.96
IT-M,Tang_naphthobistriazole_2018,A,,,,-5.58,-3.98
IT-M,Zhang_Fullerene-free_2016,A,,,,-5.56,-3.97
ITN-C9,Swick_closely_2018,A,,,,-5.78,-3.92
IT-OH,Liu_H-bonds-assisted_2020,A,666,725,1.54,-5.57,-3.92
IT-OM-1,Li_significant_2017,A,650,668,1.67,-5.5,-3.76
IT-OM-2,Li_significant_2017,A,678,706,1.59,-5.49,-3.86
IT-OM-3,Li_significant_2017,A,664,686,1.64,-5.52,-3.8
IT-OM-4,Li_significant_2017,A,676,688,1.63,-5.49,-3.81
ITOTIC-2F,Lee_design_2018,A,791,809,1.32,-5.22,-4.11
ITTC,Zhang_achieving_2017,A,,707,1.61,-5.49,-3.85
ITTIC,Zhang_energy-level_2017,A,,,,-5.28,-3.82
ITzN-C9,Swick_closely_2018,A,,,,-5.62,-3.78
IUIC,Jia_breaking_2018,A,772,788,1.41,-5.45,-3.87
IXIC,Chen_modulation_2018,A,751.5,799.5,1.35,-5.13,-3.78
IXIC-2Cl,Chen_modulation_2018,A,773.5,939,1.3,-5.2,-3.9
IXIC-4Cl,Chen_modulation_2018,A,789,866,1.25,-5.2,-3.95
J100,Bin_effect_2020,D,,,1.95,-5.35,-3
J101,Bin_effect_2020,D,,,1.96,-5.47,-2.97
J101 (actually J100),Wang_a wide-bandgap_2019,D,,,,-5.3,-3.5
J11,Qiu_a simple_2019,D,543,543,1.96,-5.48,-3.23
J12,Qiu_a simple_2019,D,548,545,1.94,-5.51,-3.26
J51,Li_a fused_2016,D,,,,-5.29,-3.3
J51,Li_non-fullerene_polymer_2016,D,,,,-5.29,-3.3
J52,Bin_non-fullerene_2016,D,,590,1.96,-5.21,-3.08
J52,Li_indacenodithieno_2019,D,,,,-5.12,-3.58
J52,Liu_chlorinated_2018,D,,,1.93,-5.22,
J52,Tang_benzotriazole_2019,D,,,,-5.13,-3.22
J52,Xue_side_2017,D,,,1.96,-5.17,-2.99
J52,Yao_design_2017,D,,,,-5.21,-2.99
J52,Zhang_high-performance_2021,D,,,,-5.09,-3.13
J52,Zhao_efficient_2021,D,,,,-5.21,-2.9
J52-2Cl,Liu_chlorinated_2018,D,,,1.94,-5.38,
J52-2F,Zhao_synthesis_2020,D,,,,-5.36,-3.42
J52-Cl,Guo_modulating_2021,D,,,,-5.39,-3.45
J52-Cl,Li_synthesis_2020,D,,,,-5.39,-3.45
J52-Cl,Tang_benzotriazole_2019,D,,,,-5.39,-3.45
J52-F,Wang_tuning_2020,D,,,,-5.36,-3.42
J60,Bin_non-fullerene_2016,D,,598,1.93,-5.32,-3.08
J61,Bin_non-fullerene_2016,D,,600,1.93,-5.32,-2.99
J61,Li_a near-infrared_2017,D,,,,-5.22,-3.21
J61,Li_insertion_2017,D,,600,1.93,-5.32,-3.08
J61,Yuan_fused_2019,D,,,,-5.32,-3.08
J62,Huang_effect_2018,D,,,1.92,-5.31,-3.08
J63,Huang_effect_2018,D,,,1.92,-5.28,-3.04
J64,Huang_effect_2018,D,,,1.92,-5.33,-3.09
J70,Bin_effect_2018,D,,580,1.99,-5.37,-2.91
J71,An_ternary_2019,D,,,,-5.4,-3.24
J71,Bin_11.4%_2016,D,,,,-5.4,-3.24
J71,Bin_effect_2018,D,,580,1.96,-5.4,-3.24
J71,Bin_effect_2020,D,,,1.96,-5.31,-2.94
J71,Cai_an asymmetric_2020,D,,,,-5.4,-3.24
J71,Cai_effects_2021,D,,,,-5.4,-3.65
J71,Chang_fine-tuning_2018,D,,,,-5.4,-3.24
J71,Chen_alkoxy_2021,D,,,,-5.45,-3.32
J71,Hao_achieving_2019,D,,,,-5.4,-3.24
J71,Jia_isomeric_2021,D,,,,-5.4,-3.24
J71,Li_a near-infrared_2017,D,,,,-5.25,-3.18
J71,Li_isomeric_2017,D,,,,-5.25,-3.18
J71,Liu_design_2018,D,,,,-5.48,-3.6
J71,Liu_modulating_2021,D,,,,-5.4,-3.24
J71,Luo_fine-tuning_2018,D,,,,-5.4,-3.24
J71,Peng_simple_2018,D,,,,-5.4,-3.24
J71,Wang_a wide-bandgap_2019,D,,,,-5.27,-3.6
J71,Wu_a decacyclic_2019,D,,,,-5.4,-3.24
J71,Xie_16.5%_2020,D,,,,-5.4,-3.24
J71,Zhang_revealing_2019,D,,,,-5.48,-3.6
J71-Cl,Bin_effect_2020,D,,,1.96,-5.33,-2.98
J72,Bin_effect_2018,D,,578,1.98,-5.42,-3.29
J73,Bin_effect_2018,D,,576,1.98,-5.46,-2.92
J74,Bin_effect_2018,D,,526,1.99,-5.56,-3.06
J81,Bin_medium_2017,D,,,,-5.43,-2.98
J91,Xue_side_2017,D,,,2,-5.5,-3.02
JC1,Wang_enhancing_2019,A,723,828,1.3,-5.51,-3.95
JC14,Wang_structural_2021,A,657,707,1.57,-5.41,-3.63
JC2,Wang_enhancing_2019,A,673,760,1.48,-5.48,-3.73
K12,Schwenn_small_2010,A,,,,-6.2,-3.6
L1,Liu_an efficient_2020,D,,,,-5.45,-2.79
L24,Liao_fluorobenzotriazole_2019,D,,,,-5.43,-3.48
L68,Liao_fluorobenzotriazole_2019,D,,,,-5.51,-3.56
L810,Liao_fluorobenzotriazole_2019,D,,,,-5.57,-3.58
L8-BO,Li_non-fullerene_2021,A,,,,-5.68,-3.9
LL2,Lu_high-efficiency_2021,A,729,809,1.39,-5.58,-3.88
LL2-2Cl,Lu_high-efficiency_2021,A,745,835,1.35,-5.64,-4.02
LL3,Lu_high-efficiency_2021,A,753,823,1.37,-5.48,-3.78
LL3-2Cl,Lu_high-efficiency_2021,A,766,860,1.32,-5.53,-3.92
LL4,Lu_high-efficiency_2021,A,730,807,1.39,-5.56,-3.82
LL4-2Cl,Lu_high-efficiency_2021,A,743,,,-5.62,-3.99
M1,Cai_enhancing_2020,A,726,774,1.44,-5.48,-3.8
M2,Ma_control_2020,A,742,797,1.39,-5.6,-3.96
M34,Ma_ladder-type_2020,A,741,798,1.39,-5.6,-3.91
M4,Cai_enhancing_2020,A,742,798,1.38,-5.61,-3.97
m-4TBC-2F,Chen_a fully_2020,A,595,606,1.66,-5.68,-4
M8,Ma_ladder-type_2020,A,780,854,1.28,-5.49,-3.91
m-BTP-C6Ph,Chai_fine-tuning_2021,A,728,806,1.35,-5.59,-3.86
m-DTC-2Cl,Qin_non-halogenated_2021,A,,,,-5.65,-3.89
MeIC,Luo_fine-tuning_2018,A,674,718,1.58,-5.5,-3.41
MeIC,Pan_efficient_2020,A,,,,-5.93,-4.1
m-IDTIDT-FIC,Wu_a decacyclic_2019,A,716,743,1.51,-5.47,-3.94
m-INPOIC,Feng_molecular_2019,A,773,810,1.41,-5.41,-3.97
m-ITIC,Chen_backbone_2019,A,,,,-5.52,-3.83
m-ITIC,Yang_side-chain_2016,A,,,1.58,-5.52,-3.82
m-ITIC,Zheng_achieving_2021,A,,,,-5.52,-3.82
m-ITIC,Zheng_benzo_2021,A,,,,-5.52,-3.82
m-ITIC-OR-4Cl,Lin_enhancing_2019,A,,,,-5.78,-4.05
m-ITTC,Qiu_a simple_2019,A,688,711,1.61,-5.62,-3.89
MO-IDIC,Li_simplified_2019,A,670,,1.6,-5.69,-3.89
MO-IDIC-2F,Li_simplified_2019,A,677,,1.55,-5.8,-3.93
m-PBDTPS-FTAZ,Chen_revealing_2019,D,567,579,2,-5.4,-3.4
MS-4Cl,Ma_dodecacyclic_2021,A,742,813,1.37,-5.68,-3.99
MS-4F,Ma_dodecacyclic_2021,A,727,800,1.41,-5.63,-3.91
N10,Rao_an efficient_2018,A,,,,-5.7,-4.15
N2200,Su_efficient_2018,A,,,,-5.73,-4.12
N2200,Yuan_improved_2018,A,,,,-5.6,-4
N2200,Zhong_manipulating_2020,A,,,,-5.9,-3.79
N3_srivani,Srivani_non-fullerene_2017,A,,,,-5.87,-3.9
N4,Srivani_non-fullerene_2017,A,,,,-6.05,-3.89
N65-2FIC,Hu_axisymmetric_2020,A,731,786,1.4,-5.6,-4.03
N65-IC,Hu_axisymmetric_2020,A,715,748,1.48,-5.52,-3.89
N6b,Raynor_diketopyrrolopyrrole_2014,A,,,,-5.06,-3.71
N7,Raynor_a non-fullerene_2016,A,,,,-5.56,-3.74
NAI-FN-NAI(BO),Do_molecular_2017,A,411,426,2.13,-6.07,-3.96
NBDTP,Wu_a designed_2017,A,,,,-5.66,-3.79
NCBDT,Kan_fine-tuning_2018,A,,,,-5.36,-3.89
NCBDT-4Cl,Kan_a chlorinated_2018,A,,,,-5.6,-4.02
NDI-3TH,Ren_non-fullerene_2011,A,,,,-5.5,-4.1
NDICz-6,Rao_a series_2019,A,,,,-5.91,-4.19
NDTR,Li_a novel_2017,D,,,,-5.23,-3.5
