,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,sTDDFT_HOMO,sTDDFT_LUMO,sTDDFT_optbg,sTDDFT_max_abs,sTDDFT_total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
Ph-DTDP-TTIC,A,-5.28,-3.92,1.45,703,695,-7.07,-1.95,2.35,526.7,51.133,-7.07,-1.95,2.37,522.8,29.933
AT-NC,A,-5.44,-3.8,1.62,716,695,-7.12,-1.87,2.43,509.4,24.283,-7.12,-1.87,2.47,501.6,25.15
BT2FIDT-4Cl,A,-5.7,-3.88,1.56,722,695,-7.1,-1.97,2.34,529.9,46.117,-7.1,-1.97,2.36,526.1,46.117
ITIC-6F,A,-5.78,-4.16,1.51,745,695,,,,,,,,,,
BT-dIDT,A,-5.34,-3.87,1.54,718,696,-7.03,-1.93,2.31,537.8,47.467,-7.03,-1.93,2.32,533.4,62.367
IDTIDT-IC,A,-5.42,-3.82,1.53,721,696,,,,,,,,,,
p-IDTIDT-IC,A,-5.42,-3.82,1.53,721,696,,,,,,,,,,
BDCPDT-IC,A,-5.41,-3.87,1.53,727,696,,,,,,,,,,
BTIC-4F,A,-5.71,-3.95,1.48,739,696,-7.41,-2.25,2.18,569.5,24.3,-7.41,-2.25,2.2,563.5,13.233
FO-2F,A,-5.72,-3.94,1.47,784,696,,,,,,,,,,
BT-F,A,-5.41,-3.7,1.33,811,696,,,,,,,,,,
PIDIC2T2Cl,A,-5.67,-3.87,1.55,706,697,,,,,,,,,,
FDNCTF,A,-5.48,-3.82,1.6,714,697,,,,,,,,,,
CTSe-IC,A,-5.55,-3.9,1.56,725,697,-7.42,-1.86,2.63,471,18.433,-7.42,-1.86,2.67,464.5,19.883
TTPTTT-2F,A,-5.67,-4.04,1.54,726,697,,,,,,,,,,
CNDTBT-IDTT-FINCN,A,-5.56,-3.98,1.58,726,699,,,,,,,,,,
IEIC,A,-5.42,-3.82,1.57,714.97,700,,,,,,,,,,
FOC6-IC,A,-5.42,-3.77,1.51,721,700,,,,,,,,,,
BDTIT-M,A,-5.4,-3.85,1.55,730,700,-7.23,-1.93,2.41,515.1,17.9,-7.23,-1.93,2.44,509.1,25.733
PBT7-Th,D,-5.27,-3.48,1.61,705,701,,,,,,,,,,
PIDIC2T2F,A,-5.73,-3.89,1.55,711,701,,,,,,,,,,
TTPTTT-4F,A,-5.69,-4.12,1.52,738,701,,,,,,,,,,
Y6-2O,A,-5.73,-3.76,1.45,,701,,,,,,,,,,
ITIC1,A,-5.48,-3.85,1.55,734,702,,,,,,,,,,
Y6-O,A,-5.75,-3.71,1.52,768,702,-7.42,-2.12,2.46,504.8,9.767,-7.42,-2.12,2.49,498.7,9.7
NFBDT,A,-5.42,-3.86,1.56,731,703,,,,,,,,,,
DBT-4F,A,-5.67,-3.87,1.43,789,703,,,,,,,,,,
INIC2,A,-5.52,-3.98,1.52,728,704,,,,,,,,,,
IDT-3EsT-2IC2F,A,-5.38,-3.93,1.44,759,704,,,,,,,,,,
BTTBo-4F,A,-5.56,-3.85,1.45,738,705,,,,,,,,,,
TTIDIC,A,-5.43,-3.92,1.46,766,705,-6.9,-1.95,2.29,540.5,18.817,-6.9,-1.95,2.31,536.3,22.8
CZTT-4F,A,-5.61,-4.11,1.48,737,706,,,,,,,,,,
Ph-DTDP-TIC,A,-5.33,-3.89,1.46,740,707,,,,,,,,,,
A2,A,-5.7,-3.78,1.36,770,707,-7.25,-2.34,2.07,599.6,30.05,-7.25,-2.34,2.11,586.7,28.3
BCPDT-1,A,-5.36,-3.85,1.36,824,707,,,,,,,,,,
i-cc34,A,-5.39,-3.75,1.57,717,708,-7.01,-1.72,3.14,394.8,18.117,-7.01,-1.72,3.15,393.4,19.983
FOC6-FIC,A,-5.47,-3.81,1.47,736,708,,,,,,,,,,
AOT1,A,-5.52,-3.88,1.46,773,708,-7.8,-2.07,2.6,476.3,11.317,-7.8,-2.07,2.63,471.6,8.117
Y5,A,-5.55,-3.87,1.4,786.99,708.95,-7.69,-2.54,1.21,506.5,12.55,-7.69,-2.54,1.22,499.7,11
i-IEICO-2Cl,A,-5.42,-3.75,1.57,727,709,,,,,,,,,,
ITC-2Cl,A,-5.58,-4.01,1.58,746,709,,,,,,,,,,
IDT2-IC,A,-5.28,-3.91,1.5,715,710,,,,,,,,,,
INIC1,A,-5.54,-3.97,1.56,720,710,,,,,,,,,,
TSeTIC,A,-5.65,-3.91,1.53,733,710,,,,,,,,,,
IDTT-BH,A,-5.42,-3.86,1.54,733,710,,,,,,,,,,
IDTT-OBH,A,-5.41,-3.86,1.57,733,710,,,,,,,,,,
BDTThIT-M,A,-5.35,-3.82,1.53,738,710,-7.14,-1.91,2.39,518.9,28,-7.14,-1.91,2.42,512.6,27.9
FOC2C6-2FIC,A,-5.51,-3.84,1.43,742,710,,,,,,,,,,
INIC3,A,-5.52,-4.02,1.48,744,710,,,,,,,,,,
H-2F,A,-5.58,-4.06,1.46,745,710,-7.29,-2.13,2.29,540.4,15.683,-7.29,-2.13,2.33,532.3,14.783
SeCT-IC,A,-5.53,-3.92,1.54,745,710,,,,,,,,,,
F9IC,A,-5.52,-3.97,1.49,746,710,,,,,,,,,,
PIST-4F,A,-5.65,-4.03,1.46,748,710,,,,,,,,,,
BDCPDT-FIC,A,-5.52,-4,1.49,748,710,-7.4,-2.2,2.32,534.6,18.017,-7.4,-2.2,2.35,527.3,17.917
BTC6-0F,A,-5.47,-3.71,1.48,685,711,-7.15,-2.06,2.18,569,17.217,-7.15,-2.06,2.2,562.5,17.167
IDBDT-O,A,-5.68,-3.68,1.55,713,711,,,,,,,,,,
o-DOC6-2F,A,-5.49,-3.83,1.51,744,712,,,,,,,,,,
ZITI,A,-5.56,-3.77,1.53,747,712,-7.2,-1.96,2.38,520,10.6,-7.2,-1.96,2.41,513.7,10.567
BCIC2F,A,-5.54,-3.87,1.45,695,713,,,,,,,,,,
QOC6-4H,A,-5.59,-3.8,1.49,763,713,,,,,,,,,,
BTIDIC,A,-5.48,-3.97,1.47,766,713,,,,,,,,,,
ITIC2,A,-5.43,-3.8,1.53,738,714,,,,,,,,,,
N65-IC,A,-5.52,-3.89,1.48,748,715,,,,,,,,,,
R10-4Cl,A,-5.35,-3.91,1.43,754,715,-7.08,-1.97,2.39,518.1,40.5,-7.08,-1.97,2.42,513.3,55.117
IE-4F,A,-5.51,-4.07,1.44,760,715,,,,,,,,,,
Y6-1O,A,-5.71,-3.84,1.43,,715,,,,,,,,,,
m-IDTIDT-FIC,A,-5.47,-3.94,1.51,743,716,,,,,,,,,,
IDTT2F,A,-5.57,-4.03,1.46,749,716,,,,,,,,,,
SeTIC4Cl,A,-5.65,-4.08,1.44,761,716,,,,,,,,,,
IDTT2OT,A,-5.2,-3.69,1.51,725,717,,,,,,,,,,
TPDC-4F,A,-5.83,-3.99,1.42,765,717,-7.38,-2.29,2.17,572.6,11.35,-7.38,-2.29,2.19,567,17.833
AY6,A,-5.69,-4.06,1.39,789,717,-7.48,-2.25,2.39,519.7,13.967,-7.48,-2.25,2.42,511.3,19.05
ITIC5,A,-5.48,-3.95,1.53,744,718,,,,,,,,,,
i-IEICO-4Cl,A,-5.46,-3.82,1.51,754,718,-6.89,-1.9,2.8,408.6,21.65,-6.89,-1.9,2.82,406.9,21.55
TCIC2F,A,-5.59,-3.89,1.46,772,718,,,,,,,,,,
IDT-4EsT-2IC2F,A,-5.35,-3.93,1.44,738,719,,,,,,,,,,
TTIC,A,-5.51,-3.89,1.48,768.24,719.85,,,,,,,,,,
BTC6-2F,A,-5.52,-3.8,1.44,700,720,-7.22,-2.17,2.17,572.1,13.267,-7.22,-2.17,2.19,565.3,17.267
SCH3-2F,A,-5.5,-4.06,1.41,759,720,,,,,,,,,,
TTPBT-IC,A,-5.69,-3.84,1.43,781,720,,,,,,,,,,
ABP4T-4F,A,-5.65,-3.85,1.37,782,720,-7.41,-2.21,2.4,517.4,10.25,-7.41,-2.21,2.43,510.7,11.217
BCPDT-2,A,-5.4,-3.79,1.39,792,720,-7.34,-2.2,2.22,558.8,15.167,-7.34,-2.2,2.24,553.2,15
Y9,A,-5.59,-3.78,1.36,808,720,-7.35,-2.04,2.48,448.6,11.25,-7.35,-2.04,2.52,438.9,10.117
DTG-IW,A,-5.63,-4.07,1.32,822,720,-7.38,-2.2,2.19,565.2,8.333,-7.38,-2.2,2.21,559.8,9.933
R12-4Cl,A,-5.26,-3.95,1.35,766,721,-6.99,-1.99,2.43,511,40.167,-6.99,-1.99,2.45,506.4,54.667
IDT2Se,A,-5.41,-3.87,1.45,747,722,,,,,,,,,,
IDTOT2F,A,-5.54,-3.94,1.44,765,723,,,,,,,,,,
JC1,A,-5.51,-3.95,1.3,828,723,,,,,,,,,,
BT2F-IC4F,A,-5.98,-4.31,1.38,703,724,-7.36,-2.45,2.03,610.1,10.767,-7.36,-2.45,2.06,601.9,10.767
BTTIC,A,-5.59,-3.86,1.47,759,724,,,,,,,,,,
IPT2F-TT,A,-5.6,-4,1.45,764,724,,,,,,,,,,
BTC6-4F,A,-5.56,-3.86,1.43,781,724,-7.26,-2.25,2.14,579.1,13.217,-7.26,-2.25,2.17,571.5,11.867
BTCPDTF,A,-5.64,-3.92,1.44,781,724,,,,,,,,,,
BTIC-F-m,A,-5.42,-3.9,1.36,805,724,-7.32,-2.11,2.41,514.3,10.333,-7.32,-2.11,2.44,508.6,10.5
BDSePhCl,A,-5.61,-3.96,1.41,790,725,-7.36,-2.14,2.35,528.6,26.367,-7.36,-2.14,2.37,522.2,29.467
IPT2F-Th,A,-5.58,-4.03,1.47,759,726,,,,,,,,,,
M1,A,-5.48,-3.8,1.44,774,726,,,,,,,,,,
SNBDT1-F,A,-5.3,-3.83,1.41,790,726,-7.2,-2.01,2.46,503.6,9.1,-7.2,-2.01,2.5,495.1,16.267
BTTBo-4FN,A,-5.48,-3.86,1.4,763,727,,,,,,,,,,
MS-4F,A,-5.63,-3.91,1.41,800,727,,,,,,,,,,
BTSe-4F,A,-5.78,-4.16,1.39,804,727,,,,,,,,,,
BPT-4F,A,-5.59,-4,1.36,,727,,,,,,,,,,
BFC-4F,A,-5.54,-3.82,1.45,,727,,,,,,,,,,
SIDIC,A,-5.44,-3.93,1.43,759,728,,,,,,,,,,
IDST-4F,A,-5.59,-4.01,,791,728,,,,,,,,,,
p-BTP-C6Ph,A,-5.59,-3.85,1.36,805,728,,,,,,,,,,
m-BTP-C6Ph,A,-5.59,-3.86,1.35,806,728,,,,,,,,,,
LL2,A,-5.58,-3.88,1.39,809,729,-7.24,-2.06,2.42,513,12.333,-7.24,-2.06,2.44,507.7,17.467
IE-4Cl,A,-5.54,-4.11,1.43,775,730,,,,,,,,,,
o-BTP-C6Ph,A,-5.53,-3.76,1.39,790,730,,,,,,,,,,
LL4,A,-5.56,-3.82,1.39,807,730,,,,,,,,,,
TB-4Cl,A,-5.81,-3.94,1.42,810,730,-7.47,-2.27,2.39,519.8,9.35,-7.47,-2.27,2.42,511.9,20.133
TR2F-IC4F,A,-5.57,-3.94,1.4,820,730,,,,,,,,,,
IDTT2OT-2F,A,-5.28,-3.83,1.45,754,731,,,,,,,,,,
N65-2FIC,A,-5.6,-4.03,1.4,786,731,-7.21,-2.14,2.2,564.2,21.833,-7.21,-2.14,2.22,557.7,22.083
DBD-4F,A,-5.55,-3.74,1.38,816,731,,,,,,,,,,
Y6,A,-5.65,-4.09,1.36,826.42,731.84,-7.8,-2.94,1.68,508.2,10.8,-7.8,-2.94,1.69,499.2,10.85
IPT2F-Ph,A,-5.57,-4,1.46,769,732,,,,,,,,,,
BTIC-4EO-4F,A,-5.63,-3.88,1.45,774,732,,,,,,,,,,
Bu-OD-4F,A,-5.68,-4.01,1.42,801,732,,,,,,,,,,
EH-HD-4F,A,-5.69,-4.04,1.39,813,732,,,,,,,,,,
BP4T-4F,A,-5.71,-3.91,1.33,826,732,,,,,,,,,,
BCDT-4F,A,-5.46,-3.86,1.4,784,733,-7.14,-2.25,2.04,608.8,14.683,-7.14,-2.25,2.06,600.9,14.1
QOC6-4Cl,A,-5.62,-3.87,1.45,796,733,,,,,,,,,,
BT-LIC,A,-5.42,-3.84,1.38,801,733,,,,,,,,,,
BO-4F,A,-5.7,-4.01,1.4,811,733,,,,,,,,,,
BTIC-Cl-m,A,-5.42,-3.91,1.34,822,733,,,,,,,,,,
SY1,A,-5.68,-3.95,,825,733,,,,,,,,,,
BTP-4F,A,-5.68,-4.01,1.33,841,733,,,,,,,,,,
BTCIC,A,-5.53,-4,1.36,723,734,-7.17,-2.21,2.02,615.1,10.983,-7.17,-2.21,2.05,604.9,11.217
FNIC1,A,-5.61,-3.92,1.48,752,734,,,,,,,,,,
IDT-T-N,A,-5.58,-4.06,1.45,755,734,,,,,,,,,,
IDTT2OT-4F,A,-5.32,-3.9,1.42,768,734,,,,,,,,,,
CH3-2F,A,-5.59,-4.01,1.42,775,734,-7.17,-2.13,2.27,546.4,18.25,-7.17,-2.13,2.31,537.4,19.133
BTTPC,A,-5.47,-3.78,1.39,798,734,,,,,,,,,,
BTIC-2Br-m,A,-5.56,-4.07,,820,734,,,,,,,,,,
PY5-PZ,A,-5.71,-3.75,1.45,772,735,,,,,,,,,,
BP5T-4F,A,-5.63,-3.88,1.34,813,735,-7.29,-2.09,2.41,514.4,10.183,-7.29,-2.09,2.43,509.9,10.15
PY5-2TZ,A,-5.7,-3.76,1.44,775,736,,,,,,,,,,
PY5-BT,A,-5.73,-3.78,1.43,778,737,,,,,,,,,,
IDT2Se-4F,A,-5.51,-4,1.39,789,737,,,,,,,,,,
BTP-1V,A,-5.54,-3.89,1.28,829,737,-7.73,-2.27,2.58,480.8,13.7,-7.73,-2.27,2.62,472.7,11.517
BTP-S,A,-5.66,-4.03,1.26,862,737,,,,,,,,,,
IPT-2F,A,-5.51,-3.96,1.44,775,739,-7.2,-1.97,2.42,513.2,26.417,-7.2,-1.97,2.44,507.7,19.333
IDT2-IC-4Cl,A,-5.34,-3.95,1.4,779,739,,,,,,,,,,
SY2,A,-5.67,-3.99,,836,739,,,,,,,,,,
BDTN-BF,A,-5.58,-3.73,1.41,792,740,-7.26,-2.1,2.38,519.9,20.717,-7.26,-2.1,2.42,511.4,13.667
BDTN-Th,A,-5.5,-3.62,1.41,792,740,-7.16,-1.99,2.44,507.1,14.867,-7.16,-1.99,2.49,497.3,8.317
TPQx-6F,A,-5.61,-3.78,1.43,805,740,,,,,,,,,,
SY3,A,-5.69,-3.98,,838,740,,,,,,,,,,
AOIC2,A,-5.62,-3.83,1.54,782,741,-7.16,-2.04,2.23,555.1,30.55,-7.16,-2.04,2.26,548.9,41
M34,A,-5.6,-3.91,1.39,798,741,,,,,,,,,,
BTTPC-Br,A,-5.54,-3.88,1.37,813,741,,,,,,,,,,
BTP-2F-ThCl,A,-5.7,-3.99,1.34,839,741,,,,,,,,,,
IPTT-2F,A,-5.46,-4.04,1.42,766,742,,,,,,,,,,
BTOC6C8-IC4F,A,-5.52,-3.92,1.42,773,742,,,,,,,,,,
M2,A,-5.6,-3.96,1.39,797,742,,,,,,,,,,
M4,A,-5.61,-3.97,1.38,798,742,,,,,,,,,,
MS-4Cl,A,-5.68,-3.99,1.37,813,742,,,,,,,,,,
p-DOC6-2F,A,-5.47,-3.79,1.37,821,742,,,,,,,,,,
BTN-4F,A,-5.73,-4.15,1.33,834,742,,,,,,,,,,
BPF-4F,A,-5.58,-3.98,1.36,,742,,,,,,,,,,
BTOIC,A,-5.42,-3.94,1.39,781,743,,,,,,,,,,
LL4-2Cl,A,-5.62,-3.99,,,743,,,,,,,,,,
NOBDT,A,-5.26,-3.89,1.39,781,744,-7.1,-2.09,2.29,541.4,24.217,-7.1,-2.09,2.33,533,23.083
BTCPDT,A,-5.54,-3.95,1.34,815,744,,,,,,,,,,
BTIC-CF3-y,A,-5.45,-3.96,1.3,837,744,-7.41,-2.25,2.39,518.8,11.533,-7.41,-2.25,2.42,512.8,12.267
LL2-2Cl,A,-5.64,-4.02,1.35,835,745,,,,,,,,,,
Y6-Se,A,-5.63,-3.99,1.31,,745,,,,,,,,,,
Y6-2Se,A,-5.58,-3.84,1.34,,745,,,,,,,,,,
BT-IC4F,A,-5.89,-4.27,1.37,734,746,-7.27,-2.41,1.96,633.4,11.25,-7.27,-2.41,1.99,622.4,11.567
IPTTT-2F,A,-5.4,-4.07,1.43,761,746,,,,,,,,,,
TTIC-M,A,-5.3,-3.82,1.44,783,746,,,,,,,,,,
IPT-4F,A,-5.57,-4.08,1.42,795,746,,,,,,,,,,
IPTBO-4F,A,-5.57,-4.07,1.41,800,746,,,,,,,,,,
BTIC-4Br,A,-5.57,-4.11,,825,746,,,,,,,,,,
BTP-ClBr,A,-5.79,-4,1.38,826,746,,,,,,,,,,
BT6IC-HD-4Cl,A,-5.57,-4.1,1.35,828,746,,,,,,,,,,
Y6-4Cl,A,-5.74,-4.01,,845,746,,,,,,,,,,
BTP-ClBr1,A,-5.79,-4.03,1.33,742,747,-7.29,-2.08,2.41,471.8,11.333,-7.29,-2.08,2.44,462.3,11.717
IDT-PDOT,A,-5.39,-3.77,1.43,776,747,,,,,,,,,,
BTIC-4EO-4Cl,A,-5.72,-3.93,1.39,800,747,,,,,,,,,,
BTIC-BO-4Br,A,-5.53,-4.09,,823,747,,,,,,,,,,
AOIC1,A,-5.53,-3.94,1.51,790,748,-6.24,-2.97,0.88,1416.4,38.8,-6.24,-2.97,1.22,1013.2,38.25
BCDT-4Cl,A,-5.47,-3.88,1.38,806,748,-7.36,-2.19,2.21,560.4,14.917,-7.36,-2.19,2.24,554.3,14.45
TPQx-4F,A,-5.57,-3.74,1.41,813,748,,,,,,,,,,
S-YSS-Cl,A,-5.71,-3.85,1.34,835,748,,,,,,,,,,
BPS-4F,A,-5.54,-4,1.29,,749,,,,,,,,,,
BTOR-IC4F,A,-5.92,-4.23,1.37,710,750,,,,,,,,,,
FNIC2,A,-5.56,-4,1.38,794,750,,,,,,,,,,
BTIC-4EO-4Br,A,-5.45,-4.03,1.39,805,750,-7.41,-2.21,2.41,514.1,11.5,-7.41,-2.21,2.44,508.5,11.267
2FIFIC,A,-5.45,-3.97,1.38,817,750,-7.32,-2.23,2.2,562.6,12.533,-7.32,-2.23,2.25,552.2,17.367
BDTP-4F,A,-5.61,-3.9,1.36,820,750,-7.3,-2.17,2.34,530,10.933,-7.3,-2.17,2.37,522.6,9.4
BTP-2ThCl,A,-5.67,-3.95,1.35,829,750,,,,,,,,,,
IXIC,A,-5.13,-3.78,1.35,799.5,751.5,,,,,,,,,,
BTCPDTO4,A,-5.52,-3.9,1.38,795,752,,,,,,,,,,
OCH3-2F,A,-5.4,-4.04,1.33,796,752,,,,,,,,,,
DBTD-4F,A,-5.51,-3.9,1.34,751,753,,,,,,,,,,
IDT-EDOT,A,-5.43,-3.8,1.41,789,753,,,,,,,,,,
LL3,A,-5.48,-3.78,1.37,823,753,,,,,,,,,,
BTP-ClBr2,A,-5.8,-4.04,1.33,743,754,,,,,,,,,,
INPIC,A,-5.36,-3.82,1.46,779,755,,,,,,,,,,
COi6IC,A,-5.57,-3.86,1.37,795,755,-7.27,-2.07,2.24,554.4,16.767,-7.27,-2.07,2.27,547.1,17.733
BOC-4F,A,-5.4,-3.78,1.42,,755,,,,,,,,,,
BTCIC-4Cl,A,-5.64,-4.12,1.31,748,756,-7.25,-2.38,1.97,628.1,11.633,-7.25,-2.38,2.01,617.1,11.983
PY5-BTZ,A,-5.67,-3.72,1.44,775,756,,,,,,,,,,
TTIC-F,A,-5.34,-3.88,1.35,828,756,,,,,,,,,,
BTP-2V,A,-5.43,-3.91,1.28,851,756,,,,,,,,,,
AOIC,A,-5.5,-3.93,1.44,811,758,-7.1,-2.07,2.2,563.8,34.083,-7.1,-2.07,2.22,558.4,33.767
A-WSSe-Cl,A,-5.7,-3.86,1.31,840,758,-7.4,-2.22,2.39,517.8,11.883,-7.4,-2.22,2.42,512.1,11.95
AOT2,A,-5.39,-3.9,1.28,856,758,-7.32,-2.33,2.2,563.9,8.767,-7.32,-2.33,2.24,554.4,8.3
BN-0F,A,-5.35,-3.94,1.41,801,759,-7.13,-1.94,2.32,535.2,14.85,-7.13,-1.94,2.35,528.1,14.9
UF-Qx-2F,A,-5.53,-3.84,1.32,804,759,-7.11,-2.21,2.01,615.3,18.25,-7.11,-2.21,2.04,606.6,18.117
IPTBO-4Cl,A,-5.64,-4.08,1.39,817,759,,,,,,,,,,
BT-Cl,A,-5.42,-3.71,1.31,842,759,,,,,,,,,,
IPT-4Cl,A,-5.58,-4.11,1.39,819,760,,,,,,,,,,
ICIF2F,A,-5.45,-4.02,1.36,823,760,,,,,,,,,,
BTP-4V,A,-5.34,-3.94,1.21,885,760,,,,,,,,,,
IPIC,A,-5.47,-3.82,1.44,776,761,,,,,,,,,,
BTDTP-4F,A,-5.56,-3.93,1.3,857,761,-7.22,-2.15,2.37,523.8,11.65,-7.22,-2.15,2.4,516.8,13.05
BT-BO-L4F,A,-5.58,-3.98,1.32,837,762,-7.31,-2.2,2.31,536.7,13.45,-7.31,-2.2,2.34,530.3,13.5
BT-L4F,A,-5.57,-4,1.32,838,762,,,,,,,,,,
CPIC-2,A,-5.3,-3.52,1.31,742,764,,,,,,,,,,
BN-2F,A,-5.39,-3.99,1.4,808,764,-7.07,-2.02,2.19,565.4,14.45,-7.07,-2.02,2.22,557.7,14.317
COi6FIC,A,-5.6,-3.93,1.34,815,764,,,,,,,,,,
NoCA-1,A,-5.45,-3.88,,822,764,-7.17,-2.14,2.16,575.1,15.6,-7.17,-2.14,2.18,568,21.467
PTIC-4Cl,A,-5.68,-3.91,1.35,840,765,,,,,,,,,,
p-IO1,A,-5.46,-4.13,1.34,815,766,,,,,,,,,,
LL3-2Cl,A,-5.53,-3.92,1.32,860,766,,,,,,,,,,
PJ1-H,A,-5.64,-3.82,1.41,798,767,,,,,,,,,,
INPIC-2F,A,-5.4,-3.91,1.41,799,767,,,,,,,,,,
BTP-3V,A,-5.38,-3.9,1.22,814,768,,,,,,,,,,
BN-4F,A,-5.44,-4.06,1.38,816,768,-7.13,-2.03,2.25,550.6,15.233,-7.13,-2.03,2.28,543.4,15.283
S-WSeSe-Cl,A,-5.66,-3.88,1.3,853,768,-7.71,-2.26,1.99,464.7,12.217,-7.71,-2.26,2.02,457.9,12.433
NoCA-5,A,-5.43,-3.83,,818,769,,,,,,,,,,
INPIC-4F,A,-5.42,-3.94,1.39,821,769,-7.02,-1.93,2.32,533.6,26.35,-7.02,-1.93,2.36,526,25.683
COi6DFIC,A,-5.64,-4.04,1.31,824,769,-7.49,-2.26,2.28,543,19,-7.49,-2.26,2.31,535.7,17.4
IUIC,A,-5.45,-3.87,1.41,788,772,-6.96,-1.97,2.27,545.8,64.683,-6.96,-1.97,2.3,539.1,47.767
UF-Qx-2Cl,A,-5.55,-3.89,1.29,824,772,,,,,,,,,,
m-INPOIC,A,-5.41,-3.97,1.41,810,773,-7.11,-2,2.35,528,24.933,-7.11,-2,2.38,521.2,25
IXIC-2Cl,A,-5.2,-3.9,1.3,939,773.5,-7.14,-2.16,2.15,575.8,19.217,-7.14,-2.16,2.18,569.8,19.117
IPIC-4F,A,-5.54,-3.94,1.38,824,776,,,,,,,,,,
CPDT-4F,A,-5.26,-3.87,1.31,847,776,,,,,,,,,,
PT2IC-4Cl,A,-5.6,-3.9,1.31,865,776,-7.26,-2.19,2.3,539.7,11.483,-7.26,-2.19,2.33,533.1,12.217
Y19,A,-5.68,-3.95,1.308,873,776,-7.52,-2.02,2.39,455.4,11.017,-7.52,-2.02,2.44,444.4,11.633
BTP-Se,A,-5.64,-4.04,1.24,853,778,,,,,,,,,,
p-INPOIC,A,-5.38,-4,1.37,823,779,,,,,,,,,,
CPIC-3,A,-5.2,-3.48,1.24,819,780,-6.9,-2.1,2,619.8,13.717,-6.9,-2.1,2.02,612.9,14.017
M8,A,-5.49,-3.91,1.28,854,780,,,,,,,,,,
FOIC,A,-5.38,-3.91,1.32,836,782,-7.12,-2.15,2.15,575.7,17.533,-7.12,-2.15,2.18,569.7,28.95
5T-OFIC,A,-5.51,-3.86,1.34,826,784,-6.59,-2.89,0.44,628.8,43.533,-6.59,-2.89,0.55,617,29.483
CPDT-4Cl,A,-5.29,-3.93,1.3,858,786,-7.31,-2.32,2.05,604.9,9.733,-7.31,-2.32,2.07,597.6,14.25
IXIC-4Cl,A,-5.2,-3.95,1.25,866,789,,,,,,,,,,
o-IO1,A,-5.44,-4.15,1.28,850,790,,,,,,,,,,
IPIC-4Cl,A,-5.51,-3.95,1.32,855,790,,,,,,,,,,
ITOTIC-2F,A,-5.22,-4.11,1.32,809,791,,,,,,,,,,
BTP-N,A,-5.63,-3.98,1.25,876,791,-7.65,-2.78,1.54,488,12.35,-7.65,-2.78,1.54,483.1,11.617
6T-OFIC,A,-5.47,-3.89,1.31,839,792,-7.1,-2.14,2.16,575.1,22.883,-7.1,-2.14,2.18,569.3,30.933
IOTIC-2F,A,-5.34,-4.06,1.31,839,794,-6.82,-2.02,2.11,586.6,24.1,-6.82,-2.02,2.15,576.7,23.917
6-IFIC,A,-5.34,-4.02,1.27,862,799,-7.12,-2.21,2.06,602.2,17.15,-7.12,-2.21,2.1,590.7,16.417
IEICO-4Cl,A,-5.56,-4.23,1.23,887,802,-6.99,-2.04,2.28,544,25.833,-6.99,-2.04,2.32,534.6,27.283
IEICO-4F,A,-5.44,-4.19,1.24,869,803,,,,,,,,,,
3TT-CIC,A,-5.24,-3.95,1.23,885,806,,,,,,,,,,
p-IO2,A,-5.44,-4.19,1.24,880,808,,,,,,,,,,
3TT-OCIC,A,-5.22,-3.91,1.29,860,809,-7.33,-2.33,2.05,605.7,23.033,-7.33,-2.33,2.07,597.5,23.133
6-IF2F,A,-5.38,-4.07,1.25,889,809,-7.2,-2.26,2.1,590.5,16.817,-7.2,-2.26,2.14,579.8,16.45
AOT3,A,-5.37,-3.95,1.22,938,810,-7.4,-2.23,2.24,554.1,8.4,-7.4,-2.23,2.27,545.6,8.35
6-IF4F,A,-5.42,-4.14,1.22,916,816,-7.24,-2.36,2.04,608.2,16.5,-7.24,-2.36,2.08,596.1,16.283
GL1,A,-5.4,-3.83,1.28,846,817,-7.09,-2.2,2.08,596,19.967,-7.09,-2.2,2.11,588.5,13.517
o-IO2,A,-5.41,-4.21,1.2,920,835,,,,,,,,,,
PI-BT,A,-5.8,-3.3,2.34,448,,,,,,,,,,,
BIBT-NI,A,-5.62,-3.65,,503,,,,,,,,,,,
SFBRCN,A,-5.93,-3.86,,505,,,,,,,,,,,
FBR,A,-5.77,-3.57,2.14,509,,,,,,,,,,,
FRd2,A,-5.67,-3.58,,509,,,,,,,,,,,
J74,D,-5.56,-3.06,1.99,526,,,,,,,,,,,
FRdCN2,A,-5.88,-3.81,,530,,,,,,,,,,,
PB68-3TDC,D,-5.41,-3.57,1.92,555,,,,,,,,,,,
PB24-TTDC,D,-5.36,-3.58,1.91,556,,,,,,,,,,,
IBR,A,-5.64,-3.41,,565,,,,,,,,,,,
BPTCN,A,-5.38,-3.66,,569,,,,,,,,,,,
YF25,A,-5.4,-3.7,,575,,,,,,,,,,,
J73,D,-5.46,-2.92,1.98,576,,,,,,,,,,,
J72,D,-5.42,-3.29,1.98,578,,,,,,,,,,,
J71,D,-5.4,-3.24,1.96,580,,,,,,,,,,,
J70,D,-5.37,-2.91,1.99,580,,,,,,,,,,,
J52,D,-5.2,-3.05,1.96,590,,,,,,,,,,,
IDT-BC6,A,-5.55,-3.82,1.75,592,,,,,,,,,,,
J60,D,-5.32,-3.08,1.93,598,,,,,,,,,,,
PTBB-m,D,-5.48,-3.42,1.88,600,,,,,,,,,,,
